class_name,factor,level,test_image_count,mean_test_ap50_95
tank,elevation,low,63,0.5426
whitevan,elevation,low,55,0.5721
tree,elevation,low,106,0.5831
suv,elevation,low,80,0.5929
male,elevation,low,66,0.6071
tower,elevation,low,60,0.6071
barrel,elevation,low,82,0.6305
rock,elevation,low,94,0.7033
tree,elevation,mid,115,0.7371
tower,elevation,mid,49,0.7398
tree,radius,far,99,0.6684
male,radius,far,70,0.6906
tower,radius,far,59,0.7088
tower,radius,mid,48,0.7113
tree,radius,mid,119,0.7352
barrel,radius,far,65,0.7419
whitevan,radius,far,55,0.7460
male,radius,near,64,0.7517
tree,radius,near,108,0.7620
tank,radius,far,75,0.7657
tank,azimuth,270,20,0.6047
tree,azimuth,225,40,0.6701
tower,azimuth,000,24,0.6845
male,azimuth,135,25,0.6928
tower,azimuth,135,14,0.6947
tree,azimuth,000,45,0.6960
male,azimuth,090,33,0.6969
tree,azimuth,270,43,0.7036
male,azimuth,225,20,0.7065
barrel,azimuth,180,24,0.7088
