object_class,best_azimuth,best_elevation,best_radius,mean_ap50_95,std_ap50_95,variance_ap50_95,n_images
barrel,045,mid,near,0.971875,0.012500000000000011,0.00015625000000000027,2
container,090,low,near,1.0,0.0,0.0,1
male,000,mid,near,0.9661904780921482,0.0,0.0,1
rock,270,high,far,0.9888888897167312,0.011111110283268832,0.0001234567717269624,2
suv,315,mid,far,1.0,0.0,0.0,1
tank,270,mid,near,1.0,0.0,0.0,2
tent,225,low,near,0.9865740742672373,0.02093596082350888,0.00043831445560349865,6
tower,045,mid,near,1.0,0.0,0.0,1
tree,315,high,near,0.9136937587928537,0.011168503064604152,0.00012473546070407233,2
whitevan,045,mid,mid,1.0,0.0,0.0,2
