image,target_class_from_filename,gt_classes,ap50_95,precision,recall,f1
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_barrel_10-ellow-radmid-az090.png,barrel,tent,1.0,0.043478260869565216,1.0,0.08333333333333333
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_barrel_16-ellow-radfar-az270.png,barrel,"container,container,container,tower",1.0,0.6666666666666666,1.0,0.8
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_barrel_16-ellow-radmid-az000.png,barrel,"container,container,container,rock,rock,rock,rock,rock,tent,tent,tent,tent,tower,tower,tree,tree,tree,tree,tree,tree,tree",0.6744651654728775,0.31746031746031744,0.9523809523809523,0.47619047619047616
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_barrel_17-ellow-radfar-az270.png,barrel,"container,container,container,container,container,tower,tower",0.9408163310313711,1.0,1.0,1.0
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_barrel_17-ellow-radnear-az000.png,barrel,"container,rock,rock,rock,suv,tent,tent",0.7273809623186078,0.5833333333333334,1.0,0.7368421052631579
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_barrel_2-ellow-radfar-az270.png,barrel,"container,container,rock,rock,rock,rock,rock,tank,tent,tower,tower,tree,tree,tree,tree,tree,tree,tree,tree,whitevan,whitevan",0.3945650577232191,0.25925925925925924,0.6666666666666666,0.37333333333333335
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_barrel_2-ellow-radfar-az315.png,barrel,"container,rock,tank,tank,tower",0.8328282864858405,0.2777777777777778,1.0,0.4347826086956522
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_barrel_2-ellow-radmid-az180.png,barrel,"container,rock,tank,tank,tower",0.5107500128932296,0.09375,0.6,0.16216216216216214
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_barrel_20-ellow-radfar-az225.png,barrel,tent,1.0,1.0,1.0,1.0
C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_barrel_21-ellow-radfar-az000.png,barrel,"male,rock,tent",0.9074074101668816,0.3333333333333333,1.0,0.5
