scene_key,file_name,target_class,distractor_count,view_clutter_group,num_label_boxes,num_target_class_boxes,target_visible,target_detected,target_ap50_95,target_strict_quality_iou50,target_match_confidence_iou50
S0-SM_barrel_1,S0-SM_barrel_1-elhigh-radfar-az270.png,barrel,3,1-4,4,1,1,1,0.9,0.7210195804470629,0.7838432192802429
S0-SM_barrel_1,S0-SM_barrel_1-elhigh-radmid-az045.png,barrel,3,1-4,4,1,1,1,0.6,0.5928629394154044,0.7839311361312866
S0-SM_barrel_1,S0-SM_barrel_1-elhigh-radnear-az090.png,barrel,3,1-4,4,1,1,1,0.8,0.7197477012297604,0.8409633040428162
S0-SM_barrel_1,S0-SM_barrel_1-ellow-radfar-az135.png,barrel,3,1-4,4,1,1,1,0.8,0.6952369304719035,0.7841070294380188
S0-SM_barrel_1,S0-SM_barrel_1-ellow-radmid-az135.png,barrel,6,5-9,7,1,1,1,0.8,0.7424794234530765,0.8336092233657837
S0-SM_barrel_1,S0-SM_barrel_1-ellow-radnear-az090.png,barrel,23,10+,24,1,1,1,1.0,0.8696051268801597,0.8939145803451538
S0-SM_barrel_1,S0-SM_barrel_1-ellow-radnear-az135.png,barrel,20,10+,21,1,1,1,0.8,0.7902033012941416,0.8987376689910889
S0-SM_barrel_1,S0-SM_barrel_1-ellow-radnear-az270.png,barrel,31,10+,32,1,1,1,0.9,0.7445566805165171,0.7919004559516907
S0-SM_barrel_1,S0-SM_barrel_1-elmid-radfar-az225.png,barrel,3,1-4,4,1,1,1,1.0,0.770657237116577,0.8063291907310486
S0-SM_barrel_1,S0-SM_barrel_1-elmid-radmid-az090.png,barrel,3,1-4,4,1,1,1,0.7,0.712026533706343,0.8461145162582397
S0-SM_barrel_10,S0-SM_barrel_10-elhigh-radnear-az090.png,barrel,7,5-9,9,2,1,1,0.8,0.7357144434853957,0.8629654049873352
S0-SM_barrel_10,S0-SM_barrel_10-ellow-radfar-az000.png,barrel,10,10+,12,2,1,1,0.7375,0.7270688588740484,0.8588598966598511
S0-SM_barrel_10,S0-SM_barrel_10-ellow-radfar-az180.png,barrel,16,10+,18,2,1,1,0.675,0.7389912149866511,0.81378573179245
S0-SM_barrel_10,S0-SM_barrel_10-ellow-radmid-az090.png,barrel,1,1-4,1,0,0,0,0.0,0.0,0.0
S0-SM_barrel_10,S0-SM_barrel_10-ellow-radnear-az225.png,barrel,29,10+,31,2,1,1,0.93125,0.8603070242446513,0.9245221018791199
S0-SM_barrel_10,S0-SM_barrel_10-elmid-radfar-az225.png,barrel,11,10+,13,2,1,1,0.7666666671633721,0.7139757125031991,0.8412536382675171
S0-SM_barrel_10,S0-SM_barrel_10-elmid-radfar-az270.png,barrel,9,5-9,11,2,1,1,0.6333333343267441,0.7207770094885859,0.8388461470603943
S0-SM_barrel_10,S0-SM_barrel_10-elmid-radmid-az000.png,barrel,10,10+,12,2,1,1,0.775,0.6918937595956578,0.8357794284820557
S0-SM_barrel_10,S0-SM_barrel_10-elmid-radmid-az180.png,barrel,6,5-9,7,1,1,1,0.4,0.5795380812899964,0.8350694179534912
S0-SM_barrel_11,S0-SM_barrel_11-elhigh-radmid-az000.png,barrel,10,10+,12,2,1,1,0.775,0.69523221588301,0.8297849297523499
S0-SM_barrel_11,S0-SM_barrel_11-elhigh-radmid-az045.png,barrel,9,5-9,11,2,1,1,0.7,0.6938982793427435,0.8443724513053894
S0-SM_barrel_11,S0-SM_barrel_11-elhigh-radmid-az270.png,barrel,10,10+,12,2,1,1,0.658333333581686,0.6450013614277914,0.8021827340126038
S0-SM_barrel_11,S0-SM_barrel_11-elhigh-radnear-az270.png,barrel,8,5-9,10,2,1,1,0.8375,0.7219290651395056,0.8096263408660889
S0-SM_barrel_11,S0-SM_barrel_11-ellow-radnear-az180.png,barrel,30,10+,33,3,1,1,0.6476190652166093,0.8707749251791697,0.8890083432197571
S0-SM_barrel_11,S0-SM_barrel_11-elmid-radmid-az000.png,barrel,9,5-9,11,2,1,1,0.8,0.7374701788498896,0.8550662994384766
S0-SM_barrel_11,S0-SM_barrel_11-elmid-radmid-az315.png,barrel,10,10+,12,2,1,1,0.8,0.7482570668601483,0.8327338695526123
S0-SM_barrel_12,S0-SM_barrel_12-elhigh-radmid-az000.png,barrel,3,1-4,7,4,1,1,0.80625,0.7976457424245886,0.8429327607154846
S0-SM_barrel_12,S0-SM_barrel_12-elhigh-radmid-az180.png,barrel,4,1-4,8,4,1,1,0.826041667163372,0.7789897981249396,0.8380527496337891
S0-SM_barrel_12,S0-SM_barrel_12-elhigh-radmid-az315.png,barrel,4,1-4,8,4,1,1,0.684375,0.7194501350527815,0.8269653916358948
S0-SM_barrel_12,S0-SM_barrel_12-ellow-radfar-az045.png,barrel,2,1-4,3,1,1,1,0.8,0.7825016127540962,0.8812126517295837
S0-SM_barrel_12,S0-SM_barrel_12-ellow-radfar-az135.png,barrel,18,10+,21,3,1,1,0.8666666686534882,0.7710581972183874,0.8528679013252258
S0-SM_barrel_12,S0-SM_barrel_12-ellow-radmid-az135.png,barrel,21,10+,23,2,1,1,0.8375,0.7663304420773045,0.8929102420806885
S0-SM_barrel_12,S0-SM_barrel_12-ellow-radnear-az090.png,barrel,30,10+,32,2,1,1,1.0,0.9001642757389838,0.940643846988678
S0-SM_barrel_12,S0-SM_barrel_12-elmid-radnear-az090.png,barrel,1,1-4,3,2,1,1,0.925,0.8419488284512369,0.8854564428329468
S0-SM_barrel_13,S0-SM_barrel_13-elhigh-radmid-az090.png,barrel,5,5-9,7,2,1,1,0.575,0.6261310380611178,0.8690187931060791
S0-SM_barrel_13,S0-SM_barrel_13-elhigh-radnear-az135.png,barrel,4,1-4,8,4,1,1,0.7375,0.6943879353805755,0.8332582116127014
S0-SM_barrel_13,S0-SM_barrel_13-ellow-radfar-az225.png,barrel,12,10+,16,4,1,1,0.6809523835778236,0.6531834033912958,0.8318741321563721
S0-SM_barrel_13,S0-SM_barrel_13-ellow-radfar-az315.png,barrel,6,5-9,10,4,1,1,0.765625,0.7809726318011201,0.8437610864639282
S0-SM_barrel_13,S0-SM_barrel_13-ellow-radmid-az000.png,barrel,2,1-4,4,2,1,1,0.8,0.7470677466332489,0.8665536046028137
S0-SM_barrel_13,S0-SM_barrel_13-ellow-radnear-az225.png,barrel,8,5-9,12,4,1,1,0.896875,0.8853429161840936,0.9347510933876038
S0-SM_barrel_13,S0-SM_barrel_13-elmid-radfar-az135.png,barrel,7,5-9,11,4,1,1,0.7083333343267441,0.7618556809508092,0.8655434250831604
S0-SM_barrel_13,S0-SM_barrel_13-elmid-radfar-az225.png,barrel,12,10+,16,4,1,1,0.8270833335816861,0.7219980050268369,0.8488983511924744
S0-SM_barrel_13,S0-SM_barrel_13-elmid-radmid-az000.png,barrel,3,1-4,7,4,1,1,0.878125,0.7963562242319071,0.8636680841445923
S0-SM_barrel_13,S0-SM_barrel_13-elmid-radmid-az225.png,barrel,8,5-9,12,4,1,1,0.79375,0.7435977037712931,0.8613647222518921
S0-SM_barrel_13,S0-SM_barrel_13-elmid-radnear-az315.png,barrel,2,1-4,6,4,1,1,0.921875,0.8239599149939778,0.8874876499176025
S0-SM_barrel_14,S0-SM_barrel_14-ellow-radfar-az135.png,barrel,14,10+,18,4,1,1,0.703125,0.7475566225519898,0.8540698289871216
