scene_key,target_class,view_count,scene_mean_distractor_count,scene_median_distractor_count,scene_max_distractor_count,scene_mean_target_visible_rate,scene_mean_target_detected_rate,scene_detected_given_visible,scene_mean_target_ap50_95,scene_mean_target_strict_quality_iou50,scene_mean_target_match_confidence_iou50,scene_clutter_group
S0-SM_barrel_1,barrel,10,9.8,3.0,31,1.0,1.0,1.0,0.8300000000000001,0.7358395454530946,0.826345032453537,Q4 high clutter
S0-SM_barrel_10,barrel,9,11.0,10.0,29,0.8888888888888888,0.8888888888888888,1.0,0.6354166668322352,0.6409184560520207,0.7567868630091349,Q4 high clutter
S0-SM_barrel_11,barrel,7,12.285714285714286,10.0,30,1.0,1.0,1.0,0.7454931998283278,0.7303661560974655,0.8375392811638969,Q4 high clutter
S0-SM_barrel_12,barrel,8,10.375,4.0,30,1.0,1.0,1.0,0.8432291669771075,0.7947611289802898,0.8701302483677864,Q4 high clutter
S0-SM_barrel_13,barrel,11,6.2727272727272725,6.0,12,1.0,1.0,1.0,0.7804653683169321,0.7486230182205705,0.8641981049017473,Q3 mid-high clutter
S0-SM_barrel_14,barrel,9,5.222222222222222,5.0,14,1.0,1.0,1.0,0.8097376552766856,0.8006758529454348,0.8775499794218276,Q2 mid-low clutter
S0-SM_barrel_15,barrel,10,7.1,5.5,21,1.0,1.0,1.0,0.7550228183211551,0.7612676422446739,0.8692909359931946,Q3 mid-high clutter
S0-SM_barrel_16,barrel,8,7.75,6.5,21,0.75,0.75,1.0,0.5828125,0.5284314846666698,0.6133245453238487,Q4 high clutter
S0-SM_barrel_17,barrel,10,10.5,7.0,29,0.8,0.8,1.0,0.61,0.5692040010663206,0.662573367357254,Q4 high clutter
S0-SM_barrel_18,barrel,9,8.11111111111111,3.0,23,1.0,1.0,1.0,0.6906944447093539,0.7220375594606208,0.8207063343789842,Q4 high clutter
S0-SM_barrel_19,barrel,9,11.11111111111111,9.0,29,1.0,1.0,1.0,0.5997453704062434,0.6832701010264013,0.8330710927645365,Q4 high clutter
