object_class,factor,level,mean_value,std_value,variance_value,n_images
barrel,azimuth,000,0.8088026448568616,0.17768772754266943,0.03157292851927792,32
barrel,azimuth,045,0.737317494717751,0.19602004701198839,0.038423858830582136,26
barrel,azimuth,090,0.7864708637238391,0.21962452717316192,0.04823493293603493,26
barrel,azimuth,135,0.7202069171015767,0.207005038226123,0.04285108585099865,29
barrel,azimuth,180,0.7088296582023904,0.18745728972619935,0.03514023547149224,24
barrel,azimuth,225,0.7685939406934449,0.1951495820947796,0.038083359391767116,30
barrel,azimuth,270,0.7734371694822462,0.20396693961884033,0.041602512457475656,26
barrel,azimuth,315,0.8315787169758996,0.08516373759013192,0.007252862200320848,19
container,azimuth,000,0.8718343974304458,0.14908365341663363,0.022225935716050936,34
container,azimuth,045,0.8093004614695534,0.20144997491248423,0.040582092392240525,29
container,azimuth,090,0.9079131261048506,0.11183940708593706,0.01250805297733395,30
container,azimuth,135,0.864149448204063,0.15506493343586428,0.02404513358146902,24
container,azimuth,180,0.846340898163178,0.1773458361933384,0.03145154561511442,34
container,azimuth,225,0.781413820881872,0.2239732952840337,0.050164037000388954,25
container,azimuth,270,0.8854829263316663,0.1241647119276055,0.01541687568806526,27
container,azimuth,315,0.8779677795735044,0.13270388046842446,0.017610319891377884,34
male,azimuth,000,0.7491237584871875,0.1689514545220527,0.028544593985117248,25
male,azimuth,045,0.7128262057838233,0.1942737399111509,0.03774228601906551,35
male,azimuth,090,0.6969136583318815,0.24383836231884173,0.05945714693833474,33
male,azimuth,135,0.6927573483581572,0.18724472010851306,0.0350605852085154,25
male,azimuth,180,0.801795391867167,0.09102391434137289,0.008285352982025589,23
male,azimuth,225,0.7065735206243822,0.21501471357244395,0.04623132705264011,20
male,azimuth,270,0.7464412916268115,0.19759187964487504,0.03904255090159479,29
male,azimuth,315,0.8202981150625345,0.09127545144781786,0.008331208037002956,22
rock,azimuth,000,0.8492313127941234,0.15676485327454107,0.02457521922218839,35
rock,azimuth,045,0.8658167992140492,0.1415653904257566,0.020040759766396903,29
rock,azimuth,090,0.7475739115319431,0.230147792352421,0.0529680063246931,28
rock,azimuth,135,0.8068960610316704,0.16242395093893008,0.02638153983861197,30
rock,azimuth,180,0.7965276827003688,0.19846668337509665,0.039389024409910864,22
rock,azimuth,225,0.7677528825861434,0.23855620456527632,0.05690906273658996,31
rock,azimuth,270,0.8513804160803611,0.158936783823322,0.025260901252101384,27
rock,azimuth,315,0.8554801145615736,0.10668892849216687,0.011382527462806696,33
suv,azimuth,000,0.8102606731558797,0.1525957165948737,0.02328545272310301,28
suv,azimuth,045,0.7978274908034515,0.2240359236403029,0.05019209508136362,29
suv,azimuth,090,0.8021853089596727,0.2019818053335609,0.04079664968580448,28
suv,azimuth,135,0.8718358652709952,0.14693731918937877,0.021590575770561376,37
suv,azimuth,180,0.7992558807309453,0.23046597697851856,0.05311456654466305,30
suv,azimuth,225,0.742226381768194,0.22833295284443664,0.052135937354659725,31
suv,azimuth,270,0.7757048475643,0.24357413606662676,0.059328359760603605,37
suv,azimuth,315,0.7484456900086568,0.27294015301625957,0.0744963271285392,21
tank,azimuth,000,0.8080233971256873,0.2275976690423005,0.05180069895348855,27
tank,azimuth,045,0.7563723898696831,0.2577375330914224,0.06642863596405206,28
tank,azimuth,090,0.7995586318214853,0.2137465599691898,0.04568759189866244,25
tank,azimuth,135,0.8308451771178412,0.1673964307345688,0.028021565022673292,27
tank,azimuth,180,0.8232647932545796,0.18057383852095457,0.03260691115819178,21
tank,azimuth,225,0.7985391707845189,0.20701844931479596,0.04285663835670274,27
tank,azimuth,270,0.6047289131063786,0.3239542906664122,0.10494638244117827,20
tank,azimuth,315,0.7171555624582049,0.28672279523940275,0.08220996130989647,25
tent,azimuth,000,0.8846657241580094,0.09294007189657018,0.008637856964139634,29
tent,azimuth,045,0.8887304148558284,0.1234280230099383,0.015234476864141857,26
tent,azimuth,090,0.8171295110714683,0.18454985257844628,0.034058648086726255,18
tent,azimuth,135,0.8397309641538824,0.15721526925130297,0.024716640885759693,29
tent,azimuth,180,0.8395462801980701,0.15198529681142742,0.023099530446857686,29
tent,azimuth,225,0.8829582754542926,0.10774438237371282,0.011608851933092839,29
