object_class,factor,best_level,best_mean_value,best_std_value,best_variance_value,best_n_images,worst_level,worst_mean_value,effect_size,mean_group_support,min_group_support
barrel,azimuth,315,0.8315787169758996,0.08516373759013192,0.007252862200320848,19,180,0.7088296582023904,0.12274905877350917,26.5,19
container,azimuth,090,0.9079131261048506,0.11183940708593706,0.01250805297733395,30,225,0.781413820881872,0.1264993052229787,29.625,24
male,azimuth,315,0.8202981150625345,0.09127545144781786,0.008331208037002956,22,135,0.6927573483581572,0.1275407667043773,26.5,20
rock,azimuth,045,0.8658167992140492,0.1415653904257566,0.020040759766396903,29,090,0.7475739115319431,0.11824288768210611,29.375,22
suv,azimuth,135,0.8718358652709952,0.14693731918937877,0.021590575770561376,37,225,0.742226381768194,0.12960948350280121,30.125,21
tank,azimuth,135,0.8308451771178412,0.1673964307345688,0.028021565022673292,27,270,0.6047289131063786,0.22611626401146268,25.0,20
tent,azimuth,045,0.8887304148558284,0.1234280230099383,0.015234476864141857,26,090,0.8171295110714683,0.07160090378436013,25.625,18
tower,azimuth,315,0.7916072217746711,0.13917459421444964,0.01936956767475672,21,000,0.6845204322117504,0.10708678956292073,20.625,14
tree,azimuth,135,0.765160217216318,0.2042503264380649,0.041718195850056074,41,225,0.6700473856690334,0.09511283154728456,40.75,32
whitevan,azimuth,315,0.8431809436405207,0.19239353843066082,0.037015273629870164,22,225,0.7502937636588143,0.09288717998170637,22.625,17
