object_class,factor,best_level,best_mean_value,best_std_value,best_variance_value,best_n_images,worst_level,worst_mean_value,effect_size,mean_group_support,min_group_support
barrel,elevation,high,0.8546727322742571,0.07908233712227897,0.006254016044721782,61,low,0.6306269662500805,0.22404576602417658,70.66666666666667,61
container,elevation,high,0.9155811378705512,0.0748648895186165,0.005604751682634654,85,low,0.7436465294866613,0.17193460838388985,79.0,72
male,elevation,high,0.7978461658754458,0.12098012526987338,0.014636190710314256,74,low,0.6070883795900298,0.19075778628541595,70.66666666666667,66
rock,elevation,high,0.9101256923752692,0.07543838181349741,0.0056909494506390155,75,low,0.70326291606931,0.20686277630595917,78.33333333333333,66
suv,elevation,high,0.9002330596384284,0.0780901372024819,0.006098069528302448,83,low,0.5930082510901606,0.3072248085482677,80.33333333333333,78
tank,elevation,high,0.8965296379263092,0.09118862912691271,0.008315366082045634,62,low,0.5425643306652206,0.35396530726108866,66.66666666666667,62
tent,elevation,high,0.9029562793612865,0.06824327098574334,0.004657144034833599,63,low,0.781944809487325,0.1210114698739615,68.33333333333333,63
tower,elevation,high,0.8612787240360423,0.12739707379964976,0.016230014412713406,56,low,0.6071233239791304,0.25415540005691195,55.0,49
tree,elevation,high,0.8514086894264993,0.07422281618619414,0.005509026442609562,105,low,0.5830581850658859,0.26835050436061336,108.66666666666667,105
whitevan,elevation,high,0.9016376817690142,0.09373500735491258,0.008786251603825516,67,low,0.572027041746834,0.3296106400221801,60.333333333333336,55
