object_class,factor,best_level,best_mean_value,best_std_value,best_variance_value,best_n_images,worst_level,worst_mean_value,effect_size,mean_group_support,min_group_support
barrel,radius,mid,0.7780207813302903,0.17421349254134663,0.03035034098345384,78,far,0.7417510237053752,0.03626975762491513,70.66666666666667,65
container,radius,near,0.8905106257678651,0.13355145648597183,0.01783599152952443,88,far,0.8073336187396042,0.08317700702826092,79.0,73
male,radius,mid,0.7669317710309087,0.17305044858389304,0.02994645775508661,78,far,0.6906321379680885,0.07629963306282017,70.66666666666667,64
rock,radius,near,0.8391755270317806,0.18345014534735124,0.0336539558279643,88,far,0.7915471567680119,0.04762837026376865,78.33333333333333,70
suv,radius,mid,0.8068902016018326,0.2260725337319307,0.05110879050797495,82,near,0.7818250255361973,0.025065176065635297,80.33333333333333,70
tank,radius,mid,0.7793904779384773,0.23484360490832965,0.05515151876633963,61,far,0.7656525758892705,0.013737902049206774,66.66666666666667,61
tent,radius,near,0.8804363710528056,0.1443098684668259,0.02082533813691259,72,far,0.8417208283076596,0.03871554274514599,68.33333333333333,64
tower,radius,near,0.7750965202745247,0.21179262810915653,0.044856117321383476,58,far,0.7087331211350648,0.06636339913945988,55.0,48
tree,radius,near,0.7619489150139368,0.19113833547153025,0.036533863286827235,108,far,0.6683761934416164,0.09357272157232044,108.66666666666667,99
whitevan,radius,mid,0.8190920543482174,0.21814584770387171,0.0475876108704408,58,far,0.7459711929352736,0.07312086141294383,60.333333333333336,55
