object_class,factor,level,mean_value,std_value,variance_value,n_images
barrel,elevation,low,0.6306269662500805,0.23515937712977708,0.05529993265206472,82
barrel,elevation,mid,0.8480989376282836,0.09791136873529789,0.00958663612761947,69
barrel,elevation,high,0.8546727322742571,0.07908233712227897,0.006254016044721782,61
container,elevation,low,0.7436465294866613,0.22723529280264562,0.05163587829510408,72
container,elevation,mid,0.8973999521163469,0.11279199836611445,0.012722034895421563,80
container,elevation,high,0.9155811378705512,0.0748648895186165,0.005604751682634654,85
male,elevation,low,0.6070883795900298,0.24275700703992725,0.058930964466983295,66
male,elevation,mid,0.7937745372886159,0.12404391570808394,0.015386893024194236,72
male,elevation,high,0.7978461658754458,0.12098012526987338,0.014636190710314256,74
rock,elevation,low,0.70326291606931,0.2173899715342699,0.04725839972367067,94
rock,elevation,mid,0.8810099520373661,0.1105763096579587,0.012227120257572771,66
rock,elevation,high,0.9101256923752692,0.07543838181349741,0.0056909494506390155,75
suv,elevation,low,0.5930082510901606,0.25752196667866356,0.06631756332204672,80
suv,elevation,mid,0.8947248822713237,0.08917685731070629,0.00795251187981407,78
suv,elevation,high,0.9002330596384284,0.0780901372024819,0.006098069528302448,83
tank,elevation,low,0.5425643306652206,0.28290918634068163,0.08003760771594651,63
tank,elevation,mid,0.8603071923497914,0.14588464014776625,0.021282328231043254,75
tank,elevation,high,0.8965296379263092,0.09118862912691271,0.008315366082045634,62
tent,elevation,low,0.781944809487325,0.1860590825318128,0.03461798219257993,66
tent,elevation,mid,0.8894434795036122,0.09498582386744303,0.009022306735776909,76
tent,elevation,high,0.9029562793612865,0.06824327098574334,0.004657144034833599,63
tower,elevation,low,0.6071233239791304,0.22386259450438942,0.05011446121823668,60
tower,elevation,mid,0.7398424669622304,0.24149785802729845,0.0583212154317732,49
tower,elevation,high,0.8612787240360423,0.12739707379964976,0.016230014412713406,56
tree,elevation,low,0.5830581850658859,0.216350962358483,0.046807738913441733,106
tree,elevation,mid,0.7371494567115632,0.1845390261685616,0.034054652179241064,115
tree,elevation,high,0.8514086894264993,0.07422281618619414,0.005509026442609562,105
whitevan,elevation,low,0.572027041746834,0.26122564822479194,0.06823883929046275,55
whitevan,elevation,mid,0.8828503915364265,0.14021315101940632,0.019659727718790845,59
whitevan,elevation,high,0.9016376817690142,0.09373500735491258,0.008786251603825516,67
