object_class,best_azimuth,best_azimuth_mean,best_azimuth_n,best_elevation,best_elevation_mean,best_elevation_n,best_radius,best_radius_mean,best_radius_n,strongest_factor,azimuth_effect_size,elevation_effect_size,radius_effect_size
barrel,315,0.8315787169758996,19,high,0.8546727322742571,61,mid,0.7780207813302903,78,elevation,0.12274905877350917,0.22404576602417658,0.03626975762491513
container,090,0.9079131261048506,30,high,0.9155811378705512,85,near,0.8905106257678651,88,elevation,0.1264993052229787,0.17193460838388985,0.08317700702826092
male,315,0.8202981150625345,22,high,0.7978461658754458,74,mid,0.7669317710309087,78,elevation,0.1275407667043773,0.19075778628541595,0.07629963306282017
rock,045,0.8658167992140492,29,high,0.9101256923752692,75,near,0.8391755270317806,88,elevation,0.11824288768210611,0.20686277630595917,0.04762837026376865
suv,135,0.8718358652709952,37,high,0.9002330596384284,83,mid,0.8068902016018326,82,elevation,0.12960948350280121,0.3072248085482677,0.025065176065635297
tank,135,0.8308451771178412,27,high,0.8965296379263092,62,mid,0.7793904779384773,61,elevation,0.22611626401146268,0.35396530726108866,0.013737902049206774
tent,045,0.8887304148558284,26,high,0.9029562793612865,63,near,0.8804363710528056,72,elevation,0.07160090378436013,0.1210114698739615,0.03871554274514599
tower,315,0.7916072217746711,21,high,0.8612787240360423,56,near,0.7750965202745247,58,elevation,0.10708678956292073,0.25415540005691195,0.06636339913945988
tree,135,0.765160217216318,41,high,0.8514086894264993,105,near,0.7619489150139368,108,elevation,0.09511283154728456,0.26835050436061336,0.09357272157232044
whitevan,315,0.8431809436405207,22,high,0.9016376817690142,67,mid,0.8190920543482174,58,elevation,0.09288717998170637,0.3296106400221801,0.07312086141294383
