object_class,factor,level,mean_value,std_value,variance_value,n_images
barrel,radius,near,0.7748672045358813,0.20923377258423348,0.043778771589830734,69
barrel,radius,mid,0.7780207813302903,0.17421349254134663,0.03035034098345384,78
barrel,radius,far,0.7417510237053752,0.1993072289387933,0.03972337150726056,65
container,radius,near,0.8905106257678651,0.13355145648597183,0.01783599152952443,88
container,radius,mid,0.8665612338918551,0.16797669729287928,0.028216170833423603,76
container,radius,far,0.8073336187396042,0.18724800394895716,0.03506181498286867,73
male,radius,near,0.7514888783488785,0.18003976892952564,0.03241431839619699,64
male,radius,mid,0.7669317710309087,0.17305044858389304,0.02994645775508661,78
male,radius,far,0.6906321379680885,0.2089482157894534,0.04365935688159599,70
rock,radius,near,0.8391755270317806,0.18345014534735124,0.0336539558279643,88
rock,radius,mid,0.8215201366307658,0.17282906645466992,0.02986988621159271,77
rock,radius,far,0.7915471567680119,0.1875107551297187,0.03516028328931733,70
suv,radius,near,0.7818250255361973,0.22703988090732055,0.051547107522410304,89
suv,radius,mid,0.8068902016018326,0.2260725337319307,0.05110879050797495,82
suv,radius,far,0.8028731578613403,0.19201026472714014,0.036867941760586435,70
tank,radius,near,0.7706666791192501,0.27068084462026293,0.07326811964433891,64
tank,radius,mid,0.7793904779384773,0.23484360490832965,0.05515151876633963,61
tank,radius,far,0.7656525758892705,0.22969335795364004,0.05275903868801902,75
tent,radius,near,0.8804363710528056,0.1443098684668259,0.02082533813691259,72
tent,radius,mid,0.8534711187370081,0.15350277501427687,0.023563101937083705,64
tent,radius,far,0.8417208283076596,0.10664953092847468,0.011374122447263676,69
tower,radius,near,0.7750965202745247,0.21179262810915653,0.044856117321383476,58
tower,radius,mid,0.7112590946463379,0.24609866420262788,0.060564552522317794,48
tower,radius,far,0.7087331211350648,0.2247037389119963,0.0504917702810306,59
tree,radius,near,0.7619489150139368,0.19113833547153025,0.036533863286827235,108
tree,radius,mid,0.7354163155997554,0.18933716181275514,0.035848560843309424,119
tree,radius,far,0.6683761934416164,0.21549477139749493,0.0464379964996586,99
whitevan,radius,near,0.8150533869354755,0.21401579438778875,0.04580276024743628,68
whitevan,radius,mid,0.8190920543482174,0.21814584770387171,0.0475876108704408,58
whitevan,radius,far,0.7459711929352736,0.24810268045869507,0.06155494005078936,55
