class_name,best_combo,best_combo_count,best_combo_mean,best_combo_median,worst_combo,worst_combo_count,worst_combo_mean,worst_combo_median,combo_median_gap
barrel,az045_elmid_radnear,2,0.971875,0.971875,az180_ellow_radmid,2,0.3877893695649427,0.3877893695649427,0.5840856304350573
container,az090_ellow_radnear,1,1.0,1.0,az225_ellow_radmid,1,0.3387861306546256,0.3387861306546256,0.6612138693453744
male,az000_elmid_radnear,1,0.9661904780921482,0.9661904780921482,az000_ellow_radnear,1,0.31566018839761284,0.31566018839761284,0.6505302896945353
rock,az270_ellow_radnear,3,0.9620634934176056,1.0,az225_ellow_radfar,4,0.4099266509958989,0.3346801935930408,0.6653198064069592
suv,az315_elmid_radfar,1,1.0,1.0,az270_ellow_radnear,3,0.35855654301589296,0.23971838090188657,0.7602816190981134
tank,az270_elmid_radnear,2,1.0,1.0,az045_ellow_radfar,2,0.18941250233379647,0.18941250233379647,0.8105874976662035
tent,az045_elmid_radnear,3,0.9825000002980232,1.0,az270_ellow_radmid,1,0.351314758176079,0.351314758176079,0.6486852418239211
tower,az225_elmid_radnear,1,1.0,1.0,az270_ellow_radmid,1,0.2270775924150715,0.2270775924150715,0.7729224075849285
tree,az315_elhigh_radnear,2,0.9136937587928537,0.9136937587928537,az180_ellow_radfar,1,0.3710128567106919,0.3710128567106919,0.5426809020821619
whitevan,az045_elmid_radfar,1,1.0,1.0,az225_ellow_radfar,1,0.1590103878807615,0.1590103878807615,0.8409896121192385
