class_name,group_type,best_group,best_count,best_mean,best_median,worst_group,worst_count,worst_mean,worst_median,median_gap
barrel,azimuth,090,26,0.7864529208476877,0.8653820426610676,180,24,0.7088296582023904,0.7739036338330842,0.0914784088279833
barrel,elevation,high,61,0.8546727322742571,0.872916667163372,low,82,0.6305174565331099,0.6365511300345745,0.2363655371287975
barrel,radius,near,69,0.7747432759818947,0.8555871280700419,far,65,0.7418730838135862,0.8097222195731268,0.04586490849691505
container,azimuth,000,34,0.8723169342170651,0.9473611132759187,225,25,0.781413820881872,0.8597222231328487,0.08763889014306991
container,elevation,mid,80,0.8974022669311814,0.9303869082299727,low,72,0.7439014883240805,0.8052630009962355,0.12512390723373723
container,radius,near,88,0.8907192284530262,0.9400000038743017,far,73,0.8073336187396042,0.8710029995068908,0.06899700436741096
male,azimuth,315,22,0.8202981150625345,0.8261904804940734,135,25,0.692758296744238,0.7296969732597018,0.09649350723437156
male,elevation,high,74,0.797997194728806,0.8348823154247433,low,66,0.6070757102273311,0.6474805223685584,0.18740179305618498
male,radius,near,64,0.7517232534047579,0.8073611112435659,far,70,0.6905590478170048,0.7334498859061314,0.07391122533743455
rock,azimuth,045,29,0.8658436733636139,0.9166666671633721,090,28,0.7475739115319431,0.8260352004731294,0.09063146669024269
rock,elevation,high,75,0.9101514276641276,0.9280000056028366,low,94,0.7032972600018479,0.7310019863525494,0.19699801925028715
rock,radius,near,88,0.839234146080905,0.8997037065288533,far,70,0.7915471567680119,0.835625007096678,0.06407869943217537
suv,azimuth,135,37,0.8718358652709952,0.9101851855025247,225,31,0.7422490086782322,0.8251851942362608,0.0849999912662639
suv,elevation,high,83,0.9000580298339258,0.9111111177338493,low,80,0.5929429112660587,0.6060072784030937,0.3051038393307557
suv,radius,mid,82,0.8068856745495879,0.9067708363756537,far,70,0.8026787019980284,0.8604888760616839,0.046281960313969805
tank,azimuth,225,27,0.7987163503479512,0.9071428574621677,270,20,0.6047335851028353,0.6393243182787156,0.2678185391834521
tank,elevation,high,62,0.8966010363965846,0.9220486115250323,low,63,0.5425653559631818,0.5191482931980171,0.4029003183270151
tank,radius,near,64,0.7706705898414973,0.9,far,75,0.7656570458821117,0.85,0.050000000000000044
tent,azimuth,045,26,0.8886177070714284,0.9302380959334827,315,20,0.8327439572256253,0.8846439974707067,0.04559409846277607
tent,elevation,mid,76,0.889460742940346,0.9198052014855594,low,66,0.7819375010988673,0.8496794881060337,0.07012571337952578
tent,radius,near,72,0.8804209065346211,0.9284607789744719,far,69,0.8417489893636428,0.875000000745058,0.05346077822941386
tower,azimuth,225,19,0.7573163415358058,0.890625000372529,135,14,0.694717948068912,0.6911246124321015,0.19950038794042746
tower,elevation,high,56,0.8612713560145581,0.8876769359730051,low,60,0.6070875582376786,0.5888971759033679,0.29877976006963725
tower,radius,near,58,0.7749388218892574,0.8555555627163913,far,59,0.7088380241540235,0.7656541176128311,0.08990144510356024
tree,azimuth,090,38,0.736995764332956,0.8465035045708651,270,43,0.703552071888171,0.7056144580710679,0.14088904649979717
tree,elevation,high,105,0.851332931864013,0.856676532410166,low,106,0.5830511131139513,0.5485901087419722,0.3080864236681937
tree,radius,near,108,0.7620206035747515,0.8042368794019733,far,99,0.6683843515078541,0.7513131462233236,0.052923733178649734
whitevan,azimuth,090,21,0.8304162281259554,0.9320000051259993,000,22,0.7787667255071777,0.8109584929487499,0.12104151217724946
whitevan,elevation,mid,59,0.8828503915364265,0.9428571458373751,low,55,0.5721163002047951,0.5096153849735856,0.4332417608637895
whitevan,radius,near,68,0.8151424692460957,0.9029411792864694,far,55,0.745958497879039,0.8140350874935229,0.0889060917929465
