class_name,best_single_azimuth,best_single_elevation,best_single_radius,best_single_median,best_single_mean,best_single_count,best_average_azimuth,best_average_elevation,best_average_radius,best_average_azimuth_median,best_average_elevation_median,best_average_radius_median,image_path
barrel,045,mid,near,0.971875,0.971875,2,090,high,near,0.8653820426610676,0.872916667163372,0.8555871280700419,C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_barrel_2-elmid-radnear-az045.png
container,090,low,near,1.0,1.0,1,000,mid,near,0.9473611132759187,0.9303869082299727,0.9400000038743017,C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_container_4-ellow-radnear-az090.png
male,000,mid,near,0.9661904780921482,0.9661904780921482,1,315,high,near,0.8261904804940734,0.8348823154247433,0.8073611112435659,C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_male11-elmid-radnear-az000.png
rock,270,low,near,1.0,0.9620634934176056,3,045,high,near,0.9166666671633721,0.9280000056028366,0.8997037065288533,C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_rock21-ellow-radnear-az270.png
suv,315,mid,far,1.0,1.0,1,135,high,mid,0.9101851855025247,0.9111111177338493,0.9067708363756537,C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_suv19-elmid-radfar-az315.png
tank,270,mid,far,1.0,1.0,1,225,high,near,0.9071428574621677,0.9220486115250323,0.9,C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_tank11-elmid-radfar-az270.png
tent,225,low,near,1.0,0.9865740742672373,6,045,mid,near,0.9302380959334827,0.9198052014855594,0.9284607789744719,C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_tent_13-ellow-radnear-az225.png
tower,180,high,mid,1.0,1.0,1,225,high,near,0.890625000372529,0.8876769359730051,0.8555555627163913,C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_tower_4-elhigh-radmid-az180.png
tree,315,high,near,0.9136937587928537,0.9136937587928537,2,090,high,near,0.8465035045708651,0.856676532410166,0.8042368794019733,C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_tree13-elhigh-radnear-az315.png
whitevan,045,mid,mid,1.0,1.0,2,090,mid,near,0.9320000051259993,0.9428571458373751,0.9029411792864694,C:\DATA\airsim\thesis\captures\S0_20251219_164144\dataset\images\test\S0-SM_whitevann15-elmid-radmid-az045.png
