object_class,factor,best_level,best_mean_value,best_std_value,best_variance_value,best_n_images,worst_level,worst_mean_value,effect_size,mean_group_support,min_group_support
barrel,azimuth,315,0.8315787169758996,0.08516373759013192,0.007252862200320848,19,180,0.7088296582023904,0.12274905877350917,26.5,19
container,azimuth,090,0.9079192989444095,0.11183655913016913,0.012507415958075816,30,225,0.781413820881872,0.12650547806253754,29.625,24
male,azimuth,315,0.8202981150625345,0.09127545144781786,0.008331208037002956,22,135,0.692758296744238,0.12753981831829653,26.5,20
rock,azimuth,045,0.8658436733636139,0.14151396883195208,0.020026203374570704,29,090,0.7475739115319431,0.11826976183167082,29.375,22
suv,azimuth,135,0.8718358652709952,0.14693731918937877,0.021590575770561376,37,225,0.7422490086782322,0.12958685659276303,30.125,21
tank,azimuth,135,0.8308451771178412,0.1673964307345688,0.028021565022673292,27,270,0.6047335851028353,0.22611159201500597,25.0,20
tent,azimuth,045,0.8886177070714284,0.12341926926867995,0.015232316026814926,26,090,0.8171295110714683,0.07148819599996015,25.625,18
tower,azimuth,315,0.7916072217746711,0.13917459421444964,0.01936956767475672,21,000,0.6845386139235564,0.10706860785111472,20.625,14
tree,azimuth,135,0.765160217216318,0.2042503264380649,0.041718195850056074,41,225,0.6700664207689068,0.09509379644741123,40.75,32
whitevan,azimuth,315,0.843170207016037,0.19240550452297642,0.0370198781707411,22,225,0.7502816863642724,0.09288852065176456,22.625,17
