object_class,factor,best_level,best_mean_value,best_std_value,best_variance_value,best_n_images,worst_level,worst_mean_value,effect_size,mean_group_support,min_group_support
barrel,elevation,high,0.8546727322742571,0.07908233712227897,0.006254016044721782,61,low,0.6305174565331099,0.22415527574114724,70.66666666666667,61
container,elevation,high,0.915774152585199,0.07498450304320207,0.005622675696635982,85,low,0.7439014883240805,0.17187266426111847,79.0,72
male,elevation,high,0.797997194728806,0.12093439195037635,0.014625127156407253,74,low,0.6070757102273311,0.19092148450147495,70.66666666666667,66
rock,elevation,high,0.9101514276641276,0.07542019971611193,0.00568820652521821,75,low,0.7032972600018479,0.2068541676622797,78.33333333333333,66
suv,elevation,high,0.9000580298339258,0.07800701291842839,0.006085094064455853,83,low,0.5929429112660587,0.3071151185678671,80.33333333333333,78
tank,elevation,high,0.8966010363965846,0.09105563197656993,0.008291128114652546,62,low,0.5425653559631818,0.35403568043340283,66.66666666666667,62
tent,elevation,high,0.9029562793612865,0.06824327098574334,0.004657144034833599,63,low,0.7819375010988673,0.12101877826241925,68.33333333333333,63
tower,elevation,high,0.8612713560145581,0.12740789045123815,0.0162327705492347,56,low,0.6070875582376786,0.2541837977768795,55.0,49
tree,elevation,high,0.851332931864013,0.0743183161835237,0.005523212120354202,105,low,0.5830511131139513,0.26828181875006174,108.66666666666667,105
whitevan,elevation,high,0.9016398940298779,0.09373622744036526,0.008786480334751887,67,low,0.5721163002047951,0.3295235938250828,60.333333333333336,55
