object_class,best_azimuth,best_azimuth_mean,best_azimuth_n,best_elevation,best_elevation_mean,best_elevation_n,best_radius,best_radius_mean,best_radius_n,strongest_factor,azimuth_effect_size,elevation_effect_size,radius_effect_size
barrel,315,0.8315787169758996,19,high,0.8546727322742571,61,mid,0.7780158731886819,78,elevation,0.12274905877350917,0.22415527574114724,0.03614278937509574
container,090,0.9079192989444095,30,high,0.915774152585199,85,near,0.8907192284530262,88,elevation,0.12650547806253754,0.17187266426111847,0.08338560971342202
male,315,0.8202981150625345,22,high,0.797997194728806,74,mid,0.766937620572064,78,elevation,0.12753981831829653,0.19092148450147495,0.07637857275505922
rock,045,0.8658436733636139,29,high,0.9101514276641276,75,near,0.839234146080905,88,elevation,0.11826976183167082,0.2068541676622797,0.04768698931289306
suv,135,0.8718358652709952,37,high,0.9000580298339258,83,mid,0.8068856745495879,82,elevation,0.12958685659276303,0.3071151185678671,0.025085963751790175
tank,135,0.8308451771178412,27,high,0.8966010363965846,62,mid,0.7794625739876494,61,elevation,0.22611159201500597,0.35403568043340283,0.013805528105537701
tent,045,0.8886177070714284,26,high,0.9029562793612865,63,near,0.8804209065346211,72,elevation,0.07148819599996015,0.12101877826241925,0.03867191717097829
tower,315,0.7916072217746711,21,high,0.8612713560145581,56,near,0.7749388218892574,58,elevation,0.10706860785111472,0.2541837977768795,0.06610079773523392
tree,135,0.765160217216318,41,high,0.851332931864013,105,near,0.7620206035747515,108,elevation,0.09509379644741123,0.26828181875006174,0.09363625206689741
whitevan,315,0.843170207016037,22,high,0.9016398940298779,67,mid,0.8190868486178112,58,elevation,0.09288852065176456,0.3295235938250828,0.07312835073877222
