class_name,radius,best_elevation,best_azimuth,best_score
tent,near,low,225,0.9865740742672373
tent,mid,high,270,0.9533269546050489
tent,far,mid,090,0.948523185062417
tank,near,low,135,1.0
tank,mid,high,180,0.9777777794334623
tank,far,mid,270,1.0
tower,near,mid,045,1.0
tower,mid,low,090,1.0
tower,far,high,225,0.9453125001862646
container,near,low,090,1.0
container,mid,low,135,0.98125
container,far,high,270,0.9766098484396935
whitevan,near,mid,270,0.9777777794334623
whitevan,mid,mid,045,1.0
whitevan,far,mid,045,1.0
suv,near,mid,090,0.9825000002980232
suv,mid,mid,135,0.9675347236295541
suv,far,mid,315,1.0
male,near,mid,000,0.9661904780921482
male,mid,high,315,0.89609375
male,far,mid,225,0.9425000000745059
rock,near,mid,090,0.9777777794334623
rock,mid,high,315,0.96875
rock,far,high,270,0.9888888897167312
barrel,near,mid,045,0.971875
barrel,mid,mid,135,0.9510869565419853
barrel,far,high,135,0.936666670491298
tree,near,high,315,0.9136937587928537
tree,mid,high,090,0.8909325672115073
tree,far,high,135,0.8715943485345432
