object_class,r_squared,azimuth_effect,elevation_effect,radius_effect,strongest_parameter,best_azimuth,best_elevation,best_radius
barrel,0.32902553133837165,0.08678818794903664,0.2390899554650988,0.0274864023920407,elevation,045,mid,near
container,0.24769573923055255,0.02961186660347548,0.17571338922032664,0.09497503005996233,elevation,090,low,near
male,0.24180450743016157,0.08277261339636799,0.16679982509905034,0.0419391332457254,elevation,000,mid,near
rock,0.3081035994217741,0.07287702571958121,0.21059523901882915,0.03722600295575962,elevation,270,high,far
suv,0.37829084542578884,0.07493913596804247,0.30141116030472104,0.022035864922562376,elevation,315,mid,far
tank,0.4257716597473781,0.11817090580101752,0.35184861862244066,0.05441994473323042,elevation,270,mid,near
tent,0.20492250807448975,0.02265032965221314,0.12785483357851646,0.054277445501634713,elevation,225,low,near
tower,0.25115614892031657,0.03863259551632481,0.24827277987341612,0.056465915069165984,elevation,045,mid,near
tree,0.3567200304551261,0.051178469621168676,0.27634029773249424,0.11036956701571254,elevation,315,high,near
whitevan,0.3858587787100104,0.024433516745601125,0.33240750195220703,0.06710449392329776,elevation,045,mid,mid
