object_class,rank,azimuth,elevation,radius,viewpoint_label,mean_value,std_value,variance_value,n_images
barrel,1,045,mid,near,az045 | mid | near,0.971875,0.012500000000000011,0.00015625000000000027,2
barrel,2,135,mid,mid,az135 | mid | mid,0.9510869565419853,0.0,0.0,1
barrel,3,000,mid,near,az000 | mid | near,0.94375,0.0,0.0,1
container,1,090,low,near,az090 | low | near,1.0,0.0,0.0,1
container,2,135,low,mid,az135 | low | mid,0.98125,0.0,0.0,1
container,3,270,high,far,az270 | high | far,0.9766098484396935,0.0,0.0,1
male,1,000,mid,near,az000 | mid | near,0.9661904780921482,0.0,0.0,1
male,2,225,mid,far,az225 | mid | far,0.9425000000745059,0.0,0.0,1
male,3,225,mid,near,az225 | mid | near,0.909375,0.0,0.0,1
rock,1,270,high,far,az270 | high | far,0.9888888897167312,0.011111110283268832,0.0001234567717269624,2
rock,2,090,mid,near,az090 | mid | near,0.9777777794334623,0.0,0.0,1
rock,3,180,mid,near,az180 | mid | near,0.9765138893789715,0.009933828435641707,9.868094738876376e-05,3
suv,1,315,mid,far,az315 | mid | far,1.0,0.0,0.0,1
suv,2,180,mid,far,az180 | mid | far,0.9866666676600774,0.0,0.0,1
suv,3,090,mid,near,az090 | mid | near,0.9825000002980232,0.0174999997019768,0.000306249989569188,2
tank,1,270,mid,near,az270 | mid | near,1.0,0.0,0.0,2
tank,2,135,low,near,az135 | low | near,1.0,0.0,0.0,1
tank,3,270,mid,far,az270 | mid | far,1.0,0.0,0.0,1
tent,1,225,low,near,az225 | low | near,0.9865740742672373,0.02093596082350888,0.00043831445560349865,6
tent,2,045,mid,near,az045 | mid | near,0.9825000002980232,0.024748736920060656,0.0006124999791383734,3
tent,3,270,mid,near,az270 | mid | near,0.9792207806915432,0.02077921930845683,0.00043177595506894517,2
tower,1,045,mid,near,az045 | mid | near,1.0,0.0,0.0,1
tower,2,090,low,mid,az090 | low | mid,1.0,0.0,0.0,1
tower,3,180,high,mid,az180 | high | mid,1.0,0.0,0.0,1
tree,1,315,high,near,az315 | high | near,0.9136937587928537,0.011168503064604152,0.00012473546070407233,2
tree,2,045,high,near,az045 | high | near,0.9005485315079866,0.05138112403016616,0.002640019906603319,4
tree,3,090,high,mid,az090 | high | mid,0.8909325672115073,0.020781402317589622,0.00043186668228551925,4
whitevan,1,045,mid,mid,az045 | mid | mid,1.0,0.0,0.0,2
whitevan,2,045,high,far,az045 | high | far,1.0,0.0,0.0,2
whitevan,3,045,mid,far,az045 | mid | far,1.0,0.0,0.0,1
