object_class,factor,level,mean_value,std_value,variance_value,n_images
barrel,azimuth,000,0.8088026448568616,0.17768772754266943,0.03157292851927792,32
barrel,azimuth,045,0.7373010052344235,0.19603199026649015,0.03842854120784129,26
barrel,azimuth,090,0.7864529208476877,0.2196616487549696,0.04825123993375164,26
barrel,azimuth,135,0.7204820825689826,0.20689866177800031,0.04280705624552737,29
barrel,azimuth,180,0.7088296582023904,0.18745728972619935,0.03514023547149224,24
barrel,azimuth,225,0.7683244555119404,0.19581849810587917,0.03834488420044221,30
barrel,azimuth,270,0.7734371694822462,0.20396693961884033,0.041602512457475656,26
barrel,azimuth,315,0.8315787169758996,0.08516373759013192,0.007252862200320848,19
container,azimuth,000,0.8723169342170651,0.14937477989646736,0.02231282486911807,34
container,azimuth,045,0.8093127731090667,0.20142789706792294,0.04057319771720576,29
container,azimuth,090,0.9079192989444095,0.11183655913016913,0.012507415958075816,30
container,azimuth,135,0.8648994481519089,0.15472830037309612,0.023940846936347054,24
container,azimuth,180,0.846340898163178,0.1773458361933384,0.03145154561511442,34
container,azimuth,225,0.781413820881872,0.2239732952840337,0.050164037000388954,25
container,azimuth,270,0.8854829263316663,0.1241647119276055,0.01541687568806526,27
container,azimuth,315,0.8779677795735044,0.13270388046842446,0.017610319891377884,34
male,azimuth,000,0.7489450762418735,0.16883543275690047,0.02850540335420986,25
male,azimuth,045,0.7128202485344152,0.19428002710159467,0.037744728930596355,35
male,azimuth,090,0.6969338028148937,0.24383482645536161,0.05945542259251632,33
male,azimuth,135,0.692758296744238,0.1872442284861813,0.035060401101385266,25
male,azimuth,180,0.8024475659357009,0.09097088420683593,0.00827570177337355,23
male,azimuth,225,0.7065398724196311,0.21506553370902556,0.046253183789548014,20
male,azimuth,270,0.7464412916268115,0.19759187964487504,0.03904255090159479,29
male,azimuth,315,0.8202981150625345,0.09127545144781786,0.008331208037002956,22
rock,azimuth,000,0.8492313127941234,0.15676485327454107,0.02457521922218839,35
rock,azimuth,045,0.8658436733636139,0.14151396883195208,0.020026203374570704,29
rock,azimuth,090,0.7475739115319431,0.230147792352421,0.0529680063246931,28
rock,azimuth,135,0.8069776936757098,0.1624311315948489,0.026383872511183116,30
rock,azimuth,180,0.7966154166396588,0.1984933270671264,0.03939960089017722,22
rock,azimuth,225,0.7677528825861434,0.23855620456527632,0.05690906273658996,31
rock,azimuth,270,0.8513804160803611,0.158936783823322,0.025260901252101384,27
rock,azimuth,315,0.8554801145615736,0.10668892849216687,0.011382527462806696,33
suv,azimuth,000,0.8102474153600203,0.15260806796238566,0.023289222407212123,28
suv,azimuth,045,0.7978274908034515,0.2240359236403029,0.05019209508136362,29
suv,azimuth,090,0.8017567375041372,0.2016547168782904,0.040664624839263454,28
suv,azimuth,135,0.8718358652709952,0.14693731918937877,0.021590575770561376,37
suv,azimuth,180,0.7992558807309453,0.23046597697851856,0.05311456654466305,30
suv,azimuth,225,0.7422490086782322,0.22832289433040825,0.05213134407541477,31
suv,azimuth,270,0.7757122654373043,0.24355752324629643,0.05932026712987023,37
suv,azimuth,315,0.7482151749178595,0.27333515356925325,0.07471210617672724,21
tank,azimuth,000,0.8080233971256873,0.2275976690423005,0.05180069895348855,27
tank,azimuth,045,0.7563713596497699,0.25773932340960387,0.06642955883164038,28
tank,azimuth,090,0.7995586318214853,0.2137465599691898,0.04568759189866244,25
tank,azimuth,135,0.8308451771178412,0.1673964307345688,0.028021565022673292,27
tank,azimuth,180,0.8232712195737312,0.18057078451993794,0.03260580822214586,21
tank,azimuth,225,0.7987163503479512,0.20695555243872324,0.04283060068521713,27
tank,azimuth,270,0.6047335851028353,0.32395813049974653,0.10494887031689082,20
tank,azimuth,315,0.7171555624582049,0.28672279523940275,0.08220996130989647,25
tent,azimuth,000,0.8846657241580094,0.09294007189657018,0.008637856964139634,29
tent,azimuth,045,0.8886177070714284,0.12341926926867995,0.015232316026814926,26
tent,azimuth,090,0.8171295110714683,0.18454985257844628,0.034058648086726255,18
tent,azimuth,135,0.8396925694880452,0.15732676108241006,0.02475170975268174,29
tent,azimuth,180,0.8396005586108017,0.15200328802619886,0.023104999570775567,29
tent,azimuth,225,0.8830481029371471,0.10785902270464165,0.011633568778800403,29
tent,azimuth,270,0.8665065882988171,0.13183563334700188,0.01738063422000511,25
tent,azimuth,315,0.8327439572256253,0.12315468134775583,0.015167075537867275,20
tower,azimuth,000,0.6845386139235564,0.2475218996926299,0.06126709082744833,24
tower,azimuth,045,0.7131298910611478,0.21964388085993716,0.04824343439921427,18
tower,azimuth,090,0.7355356616282446,0.21868661973226663,0.04782383764992499,25
tower,azimuth,135,0.694717948068912,0.16780147110422877,0.02815733370474332,14
tower,azimuth,180,0.7414494158683922,0.21139742944061476,0.0446888731740997,21
tower,azimuth,225,0.7573163415358058,0.2874456415947151,0.08262499687179739,19
tower,azimuth,270,0.7367548484499489,0.2666960510827555,0.07112678366313573,23
tower,azimuth,315,0.7916072217746711,0.13917459421444964,0.01936956767475672,21
tree,azimuth,000,0.6959781903948874,0.20355060333038033,0.041432848116161845,45
tree,azimuth,045,0.7490012659317,0.1874442401232234,0.035135343155372624,43
tree,azimuth,090,0.736995764332956,0.22863896485529225,0.05227577625009956,38
tree,azimuth,135,0.765160217216318,0.2042503264380649,0.041718195850056074,41
tree,azimuth,180,0.763070780840093,0.1768687451829378,0.03128255302258698,32
tree,azimuth,225,0.6700664207689068,0.2287147578085286,0.05231044043941389,40
tree,azimuth,270,0.703552071888171,0.19754503922381972,0.03902404252194047,43
tree,azimuth,315,0.7177118983311946,0.1599320852286042,0.025578271885569517,44
whitevan,azimuth,000,0.7787667255071777,0.1740930683706757,0.030308396454716766,22
whitevan,azimuth,045,0.780579346945869,0.26946454697309924,0.0726111420754176,17
whitevan,azimuth,090,0.8304162281259554,0.2416134794730809,0.05837707346308889,21
whitevan,azimuth,135,0.7914980117705257,0.21215147154133995,0.04500824687715598,23
whitevan,azimuth,180,0.7717083742820301,0.21474220998311866,0.04611421674843382,24
whitevan,azimuth,225,0.7502816863642724,0.2529313853832571,0.06397428571189373,25
whitevan,azimuth,270,0.8181756627807976,0.24341852606753808,0.05925257883289271,27
