object_class,factor,best_level,best_mean_value,best_std_value,best_variance_value,best_n_images,worst_level,worst_mean_value,effect_size,mean_group_support,min_group_support
barrel,radius,mid,0.7780158731886819,0.17421789547933023,0.030351875105246836,78,far,0.7418730838135862,0.03614278937509574,70.66666666666667,65
container,radius,near,0.8907192284530262,0.13339147410928223,0.017793285365047314,88,far,0.8073336187396042,0.08338560971342202,79.0,73
male,radius,mid,0.766937620572064,0.17304889579449625,0.02994592033569442,78,far,0.6905590478170048,0.07637857275505922,70.66666666666667,64
rock,radius,near,0.839234146080905,0.18343773767668736,0.03364940360394117,88,far,0.7915471567680119,0.04768698931289306,78.33333333333333,70
suv,radius,mid,0.8068856745495879,0.22607531320360003,0.051110047240105844,82,near,0.7817997107977978,0.025085963751790175,80.33333333333333,70
tank,radius,mid,0.7794625739876494,0.23482829929358853,0.055144330149119195,61,far,0.7656570458821117,0.013805528105537701,66.66666666666667,61
tent,radius,near,0.8804209065346211,0.1443631616127006,0.02084072243081471,72,far,0.8417489893636428,0.03867191717097829,68.33333333333333,64
tower,radius,near,0.7749388218892574,0.21194067040108625,0.04491884777006187,58,far,0.7088380241540235,0.06610079773523392,55.0,48
tree,radius,near,0.7620206035747515,0.19111067658074302,0.03652329070314936,108,far,0.6683843515078541,0.09363625206689741,108.66666666666667,99
whitevan,radius,mid,0.8190868486178112,0.21815717295953607,0.04759255211369694,58,far,0.745958497879039,0.07312835073877222,60.333333333333336,55
