object_class,factor,level,mean_value,std_value,variance_value,n_images
barrel,radius,near,0.7747432759818947,0.20952315425842682,0.04389995217040052,69
barrel,radius,mid,0.7780158731886819,0.17421789547933023,0.030351875105246836,78
barrel,radius,far,0.7418730838135862,0.19924601488976965,0.039698974449454305,65
container,radius,near,0.8907192284530262,0.13339147410928223,0.017793285365047314,88
container,radius,mid,0.866779542259379,0.16809915388818905,0.028257325537925065,76
container,radius,far,0.8073336187396042,0.18724800394895716,0.03506181498286867,73
male,radius,near,0.7517232534047579,0.18009588862211287,0.03243452909858849,64
male,radius,mid,0.766937620572064,0.17304889579449625,0.02994592033569442,78
male,radius,far,0.6905590478170048,0.20891092664484467,0.04364377527160768,70
rock,radius,near,0.839234146080905,0.18343773767668736,0.03364940360394117,88
rock,radius,mid,0.8215201366307658,0.17282906645466992,0.02986988621159271,77
rock,radius,far,0.7915471567680119,0.1875107551297187,0.03516028328931733,70
suv,radius,near,0.7817997107977978,0.22702410819253327,0.051539945700615056,89
suv,radius,mid,0.8068856745495879,0.22607531320360003,0.051110047240105844,82
suv,radius,far,0.8026787019980284,0.19206168512283694,0.03688769089222376,70
tank,radius,near,0.7706705898414973,0.2706758947471445,0.07326543999716723,64
tank,radius,mid,0.7794625739876494,0.23482829929358853,0.055144330149119195,61
tank,radius,far,0.7656570458821117,0.2296973420033026,0.05276086892338216,75
tent,radius,near,0.8804209065346211,0.1443631616127006,0.02084072243081471,72
tent,radius,mid,0.8534711187370081,0.15350277501427687,0.023563101937083705,64
tent,radius,far,0.8417489893636428,0.1067116653009268,0.011387379511297025,69
tower,radius,near,0.7749388218892574,0.21194067040108625,0.04491884777006187,58
tower,radius,mid,0.7112577892980427,0.24610123219891022,0.06056581648982192,48
tower,radius,far,0.7088380241540235,0.22464076987383763,0.050463475489510475,59
tree,radius,near,0.7620206035747515,0.19111067658074302,0.03652329070314936,108
tree,radius,mid,0.7351948689361919,0.1894905951927358,0.03590668566649727,119
tree,radius,far,0.6683843515078541,0.21549824593948297,0.04643949400299389,99
whitevan,radius,near,0.8151424692460957,0.21376304070364038,0.04569463757086621,68
whitevan,radius,mid,0.8190868486178112,0.21815717295953607,0.04759255211369694,58
whitevan,radius,far,0.745958497879039,0.24812148392745184,0.06156427078636074,55
