viewpoint_index,single_id,viewpoint,expected_train_images,expected_val_images,expected_test_view_images,pilot_rank,pilot_name,pilot_note
1,sv0001,ellow-radnear-az000,141,29,35,,,
2,sv0002,ellow-radnear-az045,146,27,32,,,
3,sv0003,ellow-radnear-az090,148,25,32,,,
4,sv0004,ellow-radnear-az135,148,25,32,,,
5,sv0005,ellow-radnear-az180,135,31,39,,,
6,sv0006,ellow-radnear-az225,139,30,36,,,
7,sv0007,ellow-radnear-az270,150,25,30,,,
8,sv0008,ellow-radnear-az315,140,36,29,,,
9,sv0009,ellow-radmid-az000,147,27,31,,,
10,sv0010,ellow-radmid-az045,143,25,37,,,
11,sv0011,ellow-radmid-az090,147,26,32,2,low_mid_side,Low elevation with a side azimuth to contrast against front-view pilots.
12,sv0012,ellow-radmid-az135,146,29,30,,,
13,sv0013,ellow-radmid-az180,152,32,21,,,
14,sv0014,ellow-radmid-az225,155,21,29,,,
15,sv0015,ellow-radmid-az270,142,37,26,,,
16,sv0016,ellow-radmid-az315,152,20,33,,,
17,sv0017,ellow-radfar-az000,136,30,39,1,low_far_front,Low elevation and far radius reference viewpoint near the front azimuth.
18,sv0018,ellow-radfar-az045,148,35,22,,,
19,sv0019,ellow-radfar-az090,140,37,28,,,
20,sv0020,ellow-radfar-az135,145,24,36,,,
21,sv0021,ellow-radfar-az180,145,35,25,,,
22,sv0022,ellow-radfar-az225,141,34,30,,,
23,sv0023,ellow-radfar-az270,137,36,32,,,
24,sv0024,ellow-radfar-az315,149,28,28,,,
25,sv0025,elmid-radnear-az000,148,36,21,,,
26,sv0026,elmid-radnear-az045,138,35,32,,,
27,sv0027,elmid-radnear-az090,150,24,31,,,
28,sv0028,elmid-radnear-az135,142,20,43,,,
29,sv0029,elmid-radnear-az180,144,29,32,,,
30,sv0030,elmid-radnear-az225,146,34,25,,,
31,sv0031,elmid-radnear-az270,134,28,43,,,
32,sv0032,elmid-radnear-az315,142,30,33,,,
33,sv0033,elmid-radmid-az000,138,25,42,,,
34,sv0034,elmid-radmid-az045,135,35,35,,,
35,sv0035,elmid-radmid-az090,140,36,29,,,
36,sv0036,elmid-radmid-az135,147,38,20,,,
37,sv0037,elmid-radmid-az180,149,25,31,3,mid_mid_back,"Mid-elevation, mid-radius viewpoint to represent the central geometry band."
38,sv0038,elmid-radmid-az225,151,32,22,,,
39,sv0039,elmid-radmid-az270,138,27,40,,,
40,sv0040,elmid-radmid-az315,146,30,29,,,
41,sv0041,elmid-radfar-az000,149,29,27,,,
42,sv0042,elmid-radfar-az045,139,36,30,,,
43,sv0043,elmid-radfar-az090,139,37,29,,,
44,sv0044,elmid-radfar-az135,146,28,31,,,
45,sv0045,elmid-radfar-az180,151,28,26,,,
46,sv0046,elmid-radfar-az225,133,36,36,,,
47,sv0047,elmid-radfar-az270,145,34,26,,,
48,sv0048,elmid-radfar-az315,148,31,26,,,
49,sv0049,elhigh-radnear-az000,141,30,34,,,
50,sv0050,elhigh-radnear-az045,152,30,23,,,
51,sv0051,elhigh-radnear-az090,141,36,28,,,
52,sv0052,elhigh-radnear-az135,137,36,32,,,
53,sv0053,elhigh-radnear-az180,146,28,31,,,
54,sv0054,elhigh-radnear-az225,131,38,36,,,
55,sv0055,elhigh-radnear-az270,143,32,30,5,high_near_back,High and near viewpoint from the rear quadrant for geometric contrast.
56,sv0056,elhigh-radnear-az315,140,36,29,,,
57,sv0057,elhigh-radmid-az000,137,25,43,,,
58,sv0058,elhigh-radmid-az045,147,28,30,,,
59,sv0059,elhigh-radmid-az090,141,30,34,4,high_mid_side,High elevation side-viewpoint to test vertical separation against low pilots.
60,sv0060,elhigh-radmid-az135,141,34,30,,,
61,sv0061,elhigh-radmid-az180,136,39,30,,,
62,sv0062,elhigh-radmid-az225,130,39,36,,,
63,sv0063,elhigh-radmid-az270,147,31,27,,,
64,sv0064,elhigh-radmid-az315,150,31,24,,,
65,sv0065,elhigh-radfar-az000,154,22,29,,,
66,sv0066,elhigh-radfar-az045,123,43,39,,,
67,sv0067,elhigh-radfar-az090,147,29,29,,,
68,sv0068,elhigh-radfar-az135,153,27,25,,,
69,sv0069,elhigh-radfar-az180,147,33,25,,,
70,sv0070,elhigh-radfar-az225,150,28,27,,,
71,sv0071,elhigh-radfar-az270,144,31,30,,,
72,sv0072,elhigh-radfar-az315,144,31,30,,,
