pair_id,viewpoint_1,viewpoint_2,number_of_train_images,number_of_val_images,option_b_number_of_test_images,option_b_precision,option_b_recall,option_b_F1,option_b_mAP50,option_b_mAP50-95,training_status,model_path,option_b_status,pilot_rank,pilot_name,pilot_note
p0001,ellow-radnear-az000,ellow-radnear-az045,287,56,67,0.6498325350430099,0.701656087616365,0.6747507104379393,0.6498325350430099,0.4575244411921713,completed,/vol/tensusers6/lisannehuisman/experiments/m4_yolov8l_pair_training/pairs/p0001__ellow_radnear_az000__ellow_radnear_az045/train/weights/best.pt,completed,,,
p0002,ellow-radnear-az000,ellow-radnear-az090,289,54,67,0.6007660644714933,0.6439409495671292,0.6216047080320808,0.6007660644714933,0.42863652650036244,completed,/vol/tensusers6/lisannehuisman/experiments/m4_yolov8l_pair_training/pairs/p0002__ellow_radnear_az000__ellow_radnear_az090/train/weights/best.pt,completed,,,
p0003,ellow-radnear-az000,ellow-radnear-az135,289,54,67,0.6456093370594077,0.6992244522087059,0.6713481452482919,0.6456093370594077,0.4410302825057148,completed,/vol/tensusers6/lisannehuisman/experiments/m4_yolov8l_pair_training/pairs/p0003__ellow_radnear_az000__ellow_radnear_az135/train/weights/best.pt,completed,,,
p0004,ellow-radnear-az000,ellow-radnear-az180,276,60,74,0.6446307723747433,0.6969433794821434,0.6697671513649798,0.6446307723747433,0.4460416736674184,completed,/vol/tensusers6/lisannehuisman/experiments/m4_yolov8l_pair_training/pairs/p0004__ellow_radnear_az000__ellow_radnear_az180/train/weights/best.pt,completed,,,
p0005,ellow-radnear-az000,ellow-radnear-az225,280,59,71,0.6357177701583323,0.685403654081564,0.6596263971448303,0.6357177701583323,0.4344726879016669,completed,/vol/tensusers6/lisannehuisman/experiments/m4_yolov8l_pair_training/pairs/p0005__ellow_radnear_az000__ellow_radnear_az225/train/weights/best.pt,completed,,,
p0006,ellow-radnear-az000,ellow-radnear-az270,291,54,65,0.6460815307981328,0.6962408246057497,0.670224012815597,0.6460815307981328,0.4490237529923781,completed,/vol/tensusers6/lisannehuisman/experiments/m4_yolov8l_pair_training/pairs/p0006__ellow_radnear_az000__ellow_radnear_az270/train/weights/best.pt,completed,,,
p0007,ellow-radnear-az000,ellow-radnear-az315,281,65,64,0.689253899937057,0.736649663510292,0.7121640852544759,0.689253899937057,0.4848352239126507,completed,/vol/tensusers6/lisannehuisman/experiments/m4_yolov8l_pair_training/pairs/p0007__ellow_radnear_az000__ellow_radnear_az315/train/weights/best.pt,completed,,,
p0008,ellow-radnear-az000,ellow-radmid-az000,288,56,66,0.7061813297556643,0.7423718016389066,0.7238244765654664,0.7061813297556643,0.48652857711468145,completed,/vol/tensusers6/lisannehuisman/experiments/m4_yolov8l_pair_training/pairs/p0008__ellow_radnear_az000__ellow_radmid_az000/train/weights/best.pt,completed,,,
p0009,ellow-radnear-az000,ellow-radmid-az045,284,54,72,0.6516951376978989,0.7000371241421725,0.6750017039475681,0.6516951376978989,0.4531762612719094,completed,/vol/tensusers6/lisannehuisman/experiments/m4_yolov8l_pair_training/pairs/p0009__ellow_radnear_az000__ellow_radmid_az045/train/weights/best.pt,completed,,,
p0010,ellow-radnear-az000,ellow-radmid-az090,288,55,67,0.6146162761250163,0.6626567531373156,0.6377330713662197,0.6146162761250163,0.4270814375822825,completed,/vol/tensusers6/lisannehuisman/experiments/m4_yolov8l_pair_training/pairs/p0010__ellow_radnear_az000__ellow_radmid_az090/train/weights/best.pt,completed,,,
p0011,ellow-radnear-az000,ellow-radmid-az135,287,58,65,0.6709594114659005,0.7094510547649245,0.6896685787506044,0.6709594114659005,0.48514357696956206,completed,/vol/tensusers6/lisannehuisman/experiments/m4_yolov8l_pair_training/pairs/p0011__ellow_radnear_az000__ellow_radmid_az135/train/weights/best.pt,completed,,,
p0012,ellow-radnear-az000,ellow-radmid-az180,293,61,56,0.6357064389311127,0.6824031164169136,0.6582276158954775,0.6357064389311127,0.43162694333398444,completed,/vol/tensusers6/lisannehuisman/experiments/m4_yolov8l_pair_training/pairs/p0012__ellow_radnear_az000__ellow_radmid_az180/train/weights/best.pt,completed,,,
p0013,ellow-radnear-az000,ellow-radmid-az225,296,50,64,0.6134358630987734,0.6668598429240766,0.6390332192565246,0.6134358630987734,0.40654124354138804,completed,/vol/tensusers6/lisannehuisman/experiments/m4_yolov8l_pair_training/pairs/p0013__ellow_radnear_az000__ellow_radmid_az225/train/weights/best.pt,completed,,,
p0014,ellow-radnear-az000,ellow-radmid-az270,283,66,61,0.6683308293769247,0.7153135206428846,0.6910245085869684,0.6683308293769247,0.4551961843028019,completed,/vol/tensusers6/lisannehuisman/experiments/m4_yolov8l_pair_training/pairs/p0014__ellow_radnear_az000__ellow_radmid_az270/train/weights/best.pt,completed,,,
p0015,ellow-radnear-az000,ellow-radmid-az315,293,49,68,0.7159241516412153,0.7561517849156891,0.7354883150850678,0.7159241516412153,0.49163220265037594,completed,/vol/tensusers6/lisannehuisman/experiments/m4_yolov8l_pair_training/pairs/p0015__ellow_radnear_az000__ellow_radmid_az315/train/weights/best.pt,completed,,,
p0016,ellow-radnear-az000,ellow-radfar-az000,277,59,74,0.7042944579132998,0.7453072566539674,0.7242206807966581,0.7042944579132998,0.477094672564938,completed,/vol/tensusers6/lisannehuisman/experiments/m4_yolov8l_pair_training/pairs/p0016__ellow_radnear_az000__ellow_radfar_az000/train/weights/best.pt,completed,,,
p0017,ellow-radnear-az000,ellow-radfar-az045,289,64,57,0.648230438379151,0.6874446286104491,0.6672618872341559,0.648230438379151,0.4377260443034299,completed,/vol/tensusers6/lisannehuisman/experiments/m4_yolov8l_pair_training/pairs/p0017__ellow_radnear_az000__ellow_radfar_az045/train/weights/best.pt,completed,,,
p0018,ellow-radnear-az000,ellow-radfar-az090,281,66,63,0.6711165142578327,0.7067452244713461,0.6884702262696409,0.6711165142578327,0.4541902990375907,completed,/vol/tensusers6/lisannehuisman/experiments/m4_yolov8l_pair_training/pairs/p0018__ellow_radnear_az000__ellow_radfar_az090/train/weights/best.pt,completed,,,
p0019,ellow-radnear-az000,ellow-radfar-az135,286,53,71,0.7082654845603431,0.7410004368481504,0.7242632641960159,0.7082654845603431,0.4897837193475454,completed,/vol/tensusers6/lisannehuisman/experiments/m4_yolov8l_pair_training/pairs/p0019__ellow_radnear_az000__ellow_radfar_az135/train/weights/best.pt,completed,,,
p0020,ellow-radnear-az000,ellow-radfar-az180,286,64,60,0.6713752134946943,0.7075772806914266,0.6890010350481052,0.6713752134946943,0.46504646318491316,completed,/vol/tensusers6/lisannehuisman/experiments/m4_yolov8l_pair_training/pairs/p0020__ellow_radnear_az000__ellow_radfar_az180/train/weights/best.pt,completed,,,
p0021,ellow-radnear-az000,ellow-radfar-az225,282,63,65,0.603570292832719,0.6608305775996716,0.6309038763920657,0.603570292832719,0.4055824717259182,completed,/vol/tensusers6/lisannehuisman/experiments/m4_yolov8l_pair_training/pairs/p0021__ellow_radnear_az000__ellow_radfar_az225/train/weights/best.pt,completed,,,
p0022,ellow-radnear-az000,ellow-radfar-az270,278,65,67,0.638273007031693,0.6767710311929629,0.6569585026743833,0.638273007031693,0.4323189661840439,completed,/vol/tensusers6/lisannehuisman/experiments/m4_yolov8l_pair_training/pairs/p0022__ellow_radnear_az000__ellow_radfar_az270/train/weights/best.pt,completed,,,
p0023,ellow-radnear-az000,ellow-radfar-az315,290,57,63,0.7228030657717337,0.7561125798826366,0.7390827088936879,0.7228030657717337,0.5036162344492587,completed,/vol/tensusers6/lisannehuisman/experiments/m4_yolov8l_pair_training/pairs/p0023__ellow_radnear_az000__ellow_radfar_az315/train/weights/best.pt,completed,,,
