viewpoint,elevation,radius,azimuth,completed_pair_count,avg_mAP50-95,avg_mAP50,avg_F1,best_pair_id_with_viewpoint,best_pair_mAP50-95_with_viewpoint
elmid-radmid-az225,elmid,radmid,225,70,0.44315320649815976,0.656188527988292,0.688192669112479,p0569,0.4957698038530213
elmid-radmid-az000,elmid,radmid,0,71,0.4397663526940858,0.6538818782916457,0.684059842380127,p0864,0.48656320232257866
elmid-radfar-az180,elmid,radfar,180,71,0.43969958225963995,0.6557529691154723,0.6884397262816472,p0876,0.48458937660326
elmid-radfar-az090,elmid,radfar,90,71,0.43919181870587054,0.6536792093414053,0.6873192126714057,p0042,0.48385661392382456
elmid-radmid-az045,elmid,radmid,45,71,0.43880483195423386,0.6451554129078192,0.6750006916090042,p0502,0.4933872551586506
elmid-radfar-az225,elmid,radfar,225,71,0.43847182212505786,0.6536477892503274,0.6879361427061109,p0819,0.48503716433275085
elmid-radfar-az045,elmid,radfar,45,71,0.43817891386194474,0.6520447152027551,0.6850618512170012,p0381,0.48215856481400465
elmid-radmid-az180,elmid,radmid,180,71,0.43668968595835256,0.6424859064644322,0.6718578158252535,p0810,0.48921879116018274
elmid-radmid-az270,elmid,radmid,270,70,0.4364090158030939,0.6459215547380611,0.6745514747927779,p1092,0.49405858130707453
elmid-radfar-az000,elmid,radfar,0,71,0.43481428430176816,0.6509054138595963,0.6866163355585994,p0814,0.479470747428181
elmid-radfar-az135,elmid,radfar,135,71,0.43433257092461247,0.6501766172185914,0.6831268501283181,p0043,0.48136231227512793
elmid-radmid-az315,elmid,radmid,315,71,0.43430380997364837,0.6456977899820376,0.6773326095379688,p0633,0.48189344675309986
elmid-radfar-az270,elmid,radfar,270,71,0.433837013045219,0.6522831612813987,0.6871789069290716,p1256,0.48234993951114685
elmid-radfar-az315,elmid,radfar,315,68,0.4332096320548249,0.6501044932051661,0.6845223021841418,p0821,0.48635365086136345
elmid-radmid-az090,elmid,radmid,90,71,0.43261105610390155,0.6353050357421541,0.6647505922252384,p0034,0.4910923165554361
elmid-radmid-az135,elmid,radmid,135,70,0.42958815566089337,0.636416572264635,0.666629605381646,p0809,0.48902227599140896
ellow-radmid-az180,ellow,radmid,180,71,0.4285035804041332,0.6484533679553617,0.6807707668614296,p0839,0.492081240087054
ellow-radmid-az225,ellow,radmid,225,71,0.42345112595750195,0.6493660330173338,0.6837336161026019,p0865,0.48994135855210424
ellow-radmid-az000,ellow,radmid,0,71,0.42343328213399245,0.6455693797827557,0.6804452077205252,p0569,0.4957698038530213
ellow-radnear-az000,ellow,radnear,0,69,0.4233553234885934,0.6431531305657816,0.6773190178200459,p0038,0.4912164905084619
elmid-radnear-az225,elmid,radnear,225,71,0.42299580516936514,0.6223663988370973,0.6493165732252691,p1083,0.4830484213043043
ellow-radfar-az225,ellow,radfar,225,71,0.42290640491377235,0.6505997684162895,0.6869196800556465,p1297,0.48737028588548886
