pair_index,pair_id,viewpoint_1,viewpoint_2,expected_train_images,expected_val_images,expected_test_pair_images,pilot_rank,pilot_name,pilot_note
1,p0001,ellow-radnear-az000,ellow-radnear-az045,287,56,67,,,
2,p0002,ellow-radnear-az000,ellow-radnear-az090,289,54,67,,,
3,p0003,ellow-radnear-az000,ellow-radnear-az135,289,54,67,,,
4,p0004,ellow-radnear-az000,ellow-radnear-az180,276,60,74,,,
5,p0005,ellow-radnear-az000,ellow-radnear-az225,280,59,71,,,
6,p0006,ellow-radnear-az000,ellow-radnear-az270,291,54,65,,,
7,p0007,ellow-radnear-az000,ellow-radnear-az315,281,65,64,,,
8,p0008,ellow-radnear-az000,ellow-radmid-az000,288,56,66,,,
9,p0009,ellow-radnear-az000,ellow-radmid-az045,284,54,72,,,
10,p0010,ellow-radnear-az000,ellow-radmid-az090,288,55,67,,,
11,p0011,ellow-radnear-az000,ellow-radmid-az135,287,58,65,,,
12,p0012,ellow-radnear-az000,ellow-radmid-az180,293,61,56,,,
13,p0013,ellow-radnear-az000,ellow-radmid-az225,296,50,64,,,
14,p0014,ellow-radnear-az000,ellow-radmid-az270,283,66,61,,,
15,p0015,ellow-radnear-az000,ellow-radmid-az315,293,49,68,,,
16,p0016,ellow-radnear-az000,ellow-radfar-az000,277,59,74,,,
17,p0017,ellow-radnear-az000,ellow-radfar-az045,289,64,57,,,
18,p0018,ellow-radnear-az000,ellow-radfar-az090,281,66,63,,,
19,p0019,ellow-radnear-az000,ellow-radfar-az135,286,53,71,,,
20,p0020,ellow-radnear-az000,ellow-radfar-az180,286,64,60,,,
21,p0021,ellow-radnear-az000,ellow-radfar-az225,282,63,65,,,
22,p0022,ellow-radnear-az000,ellow-radfar-az270,278,65,67,,,
23,p0023,ellow-radnear-az000,ellow-radfar-az315,290,57,63,,,
24,p0024,ellow-radnear-az000,elmid-radnear-az000,289,65,56,,,
25,p0025,ellow-radnear-az000,elmid-radnear-az045,279,64,67,,,
26,p0026,ellow-radnear-az000,elmid-radnear-az090,291,53,66,,,
27,p0027,ellow-radnear-az000,elmid-radnear-az135,283,49,78,,,
28,p0028,ellow-radnear-az000,elmid-radnear-az180,285,58,67,,,
29,p0029,ellow-radnear-az000,elmid-radnear-az225,287,63,60,,,
30,p0030,ellow-radnear-az000,elmid-radnear-az270,275,57,78,,,
31,p0031,ellow-radnear-az000,elmid-radnear-az315,283,59,68,,,
32,p0032,ellow-radnear-az000,elmid-radmid-az000,279,54,77,,,
33,p0033,ellow-radnear-az000,elmid-radmid-az045,276,64,70,,,
34,p0034,ellow-radnear-az000,elmid-radmid-az090,281,65,64,,,
35,p0035,ellow-radnear-az000,elmid-radmid-az135,288,67,55,,,
36,p0036,ellow-radnear-az000,elmid-radmid-az180,290,54,66,,,
37,p0037,ellow-radnear-az000,elmid-radmid-az225,292,61,57,,,
38,p0038,ellow-radnear-az000,elmid-radmid-az270,279,56,75,,,
39,p0039,ellow-radnear-az000,elmid-radmid-az315,287,59,64,,,
40,p0040,ellow-radnear-az000,elmid-radfar-az000,290,58,62,,,
41,p0041,ellow-radnear-az000,elmid-radfar-az045,280,65,65,,,
42,p0042,ellow-radnear-az000,elmid-radfar-az090,280,66,64,,,
43,p0043,ellow-radnear-az000,elmid-radfar-az135,287,57,66,,,
44,p0044,ellow-radnear-az000,elmid-radfar-az180,292,57,61,,,
45,p0045,ellow-radnear-az000,elmid-radfar-az225,274,65,71,,,
46,p0046,ellow-radnear-az000,elmid-radfar-az270,286,63,61,,,
