viewpoint,original_count,original_mean_ap50_95,original_median_ap50_95,original_std_ap50_95,single_id,number_of_train_images,number_of_val_images,number_of_test_images,trained_precision,trained_recall,trained_f1,trained_map50,trained_map50_95,elevation,radius,azimuth,grid_row_label,original_rank,original_pct,trained_rank,trained_pct,original_z,trained_z,pct_delta,z_delta,rank_delta,abs_rank_delta
elhigh-radfar-az000,29,0.8980467451966491,0.9147980813758523,0.07512452952483605,sv0065,154,22,2214,0.5264800062752774,0.606912971973013,0.5638424649264075,0.5264800062752774,0.33999633482078295,elhigh,radfar,000,high | far,4,0.9577464788732395,33,0.5492957746478873,0.9707927189529405,0.04140582750849071,-0.40845070422535223,-0.9293868914444497,-29,29
elhigh-radfar-az045,39,0.8685817127251436,0.8734024298635796,0.09337844116343548,sv0066,123,43,2214,0.5408103731760517,0.618119856430958,0.5768865487913096,0.5408103731760517,0.3517406582248309,elhigh,radfar,045,high | far,28,0.619718309859155,24,0.676056338028169,0.7194961441281387,0.3428731917540173,0.05633802816901401,-0.37662295237412136,4,4
elhigh-radfar-az090,29,0.885660910043966,0.9000000025331973,0.07375669259034597,sv0067,147,29,2214,0.519064827961629,0.6059493765413613,0.5591520669320794,0.519064827961629,0.33715840306367034,elhigh,radfar,090,high | far,15,0.8028169014084507,39,0.46478873239436624,0.8651584233442766,-0.03144160501627535,-0.3380281690140845,-0.896600028360552,-24,24
elhigh-radfar-az135,25,0.8413281214331395,0.8508445354223003,0.09872926029326705,sv0068,153,27,2214,0.5425796098153397,0.6219862056527288,0.5795757153286191,0.5425796098153397,0.35443982782283306,elhigh,radfar,135,high | far,38,0.47887323943661975,22,0.704225352112676,0.4870601490217753,0.4121587109249983,0.22535211267605626,-0.07490143809677702,16,16
elhigh-radfar-az180,25,0.868760181217522,0.8847288715734812,0.08214727883134282,sv0069,147,33,2214,0.5365448879570109,0.6157415955254071,0.5734216449076167,0.5365448879570109,0.3435612602938729,elhigh,radfar,180,high | far,27,0.6338028169014085,29,0.6056338028169015,0.7210182371681582,0.13291460576077732,-0.028169014084507005,-0.5881036314073809,-2,2
elhigh-radfar-az225,27,0.8544231600653377,0.890625000372529,0.09887800924449672,sv0070,150,28,2214,0.5205621967076038,0.613512074564213,0.5632280024898625,0.5205621967076038,0.3330930922222578,elhigh,radfar,225,high | far,34,0.5352112676056338,45,0.3802816901408451,0.5987429838753332,-0.13579487442445462,-0.15492957746478864,-0.7345378582997878,-11,11
elhigh-radfar-az270,30,0.8800839543751225,0.883762630618582,0.09089642217548871,sv0071,144,31,2214,0.5236117966270561,0.6137471705415045,0.5651078822406329,0.5236117966270561,0.3342499000230558,elhigh,radfar,270,high | far,18,0.7605633802816901,44,0.3943661971830986,0.817594591236322,-0.10610054579884458,-0.3661971830985915,-0.9236951370351666,-26,26
elhigh-radfar-az315,30,0.8538938149689573,0.8839569585974978,0.09521851853090976,sv0072,144,31,2214,0.5283080129653381,0.6133914291309149,0.5676793648933084,0.5283080129653381,0.3370014455332844,elhigh,radfar,315,high | far,35,0.5211267605633803,40,0.45070422535211263,0.594228391544599,-0.03547057896019959,-0.07042253521126762,-0.6296989705047986,-5,5
elhigh-radmid-az000,43,0.8926326190357443,0.8891666785379251,0.07212787855415044,sv0057,137,25,2214,0.523215057368734,0.5844351164974371,0.5521332641319208,0.523215057368734,0.3459669579749205,elhigh,radmid,000,high | mid,9,0.8873239436619719,27,0.6338028169014085,0.9246176006590626,0.19466693615275393,-0.2535211267605634,-0.7299506645063087,-18,18
elhigh-radmid-az045,30,0.8743873896289489,0.9015991315493981,0.10447294632343476,sv0058,147,28,2214,0.5429722739694822,0.6097632348360674,0.5744327778103976,0.5429722739694822,0.35969234721512794,elhigh,radmid,045,high | mid,25,0.6619718309859155,18,0.7605633802816901,0.7690106566906694,0.5469866718357028,0.09859154929577463,-0.22202398485496655,7,7
